English Term,中文,Simple English,中文小白理解,Module/Topic,Source Raw File
Inference Optimization,推理优化,A technique that makes model inference more efficient,让模型生成结果时更快或更省资源的技术,10 / Model Serving,02-transformer.md; 05-inference.md
Cost per Token,每 token 成本,The cost associated with processing or generating tokens.,处理或生成 token 时产生的费用。,10 / Latency,03-large-language-models.md
Evaluation,评测,"Measuring a model or system against defined tasks, examples, or criteria.",用规定的任务和标准检查模型或系统表现。,11 / Evaluation,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-scientific-models.md; 04-fine-tuning.md; 04-preference-learning-rlhf.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 05-inference.md; 05-sampling-temperature.md; 07-image-generation.md; 07-text-generation.md; 08-grounding.md; 08-semantic-search.md; 09-multi-agent-systems.md; 11-benchmarks.md; 11-deployment-readiness.md; 11-evaluation.md; 11-failure-modes.md; 11-functional-tests.md; 11-guardrails.md; 11-hallucination.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-adoption.md; 12-continuous-improvement.md; 12-deployment.md; 12-integration.md; 12-monitoring.md; 12-technical-scoping.md; 12-workflow-discovery.md
Benchmark,基准测试,A standard task or dataset used to compare models.,用统一题目或数据比较不同模型的测试。,11 / Benchmarks,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-scientific-models.md; 07-image-generation.md; 08-retrieval.md; 11-benchmarks.md; 11-hallucination.md; 12-deployment.md
Evaluation Metric,评估指标,A measurable quantity used to judge performance.,用来量化模型表现的数字。,11 / Evaluation,01-deep-learning.md; 03-foundation-models.md; 04-instruction-tuning.md; 04-pre-training.md
Accuracy,准确率,The fraction of predictions that are correct.,所有判断中答对的比例。,11 / Evaluation,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 05-inference.md; 05-sampling-temperature.md; 06-structured-outputs.md
Precision,精确率,"Among predicted positive cases, the fraction that is actually positive.",模型说“是”的结果里，真正是“是”的比例。,11 / Evaluation,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 04-training-data.md; 05-inference.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md; 09-human-in-the-loop.md; 10-gpu-vram-unified-memory.md; 10-quantization.md; 11-hallucination.md
Recall,召回率,"Among actual positive cases, the fraction the model finds.",所有真正的目标里，模型找出来的比例。,11 / Evaluation,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 03-multimodal-models.md; 03-vision-foundation-models.md; 04-training-data.md; 05-inference.md; 08-reranking.md; 08-retrieval.md; 08-semantic-search.md; 08-vector-search.md; 09-human-in-the-loop.md; 11-hallucination.md
F1 Score,F1 分数,A combined measure of precision and recall.,综合衡量精确率和召回率的指标。,11 / Evaluation,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 03-multimodal-models.md; 04-training-data.md; 05-inference.md; 11-hallucination.md
Confusion Matrix,混淆矩阵,A table of classification outcome counts.,把正确、误报、漏报等分类结果列成表。,11 / Evaluation,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 04-training-data.md
Calibration,校准,How well a model's confidence matches its actual success frequency.,模型说自己有多确定，长期看是否和实际正确率相符。,11 / Evaluation,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-attention.md; 03-foundation-models.md; 04-training-data.md; 09-human-in-the-loop.md; 10-quantization.md; 11-hallucination.md
Offline Evaluation,离线评估,Testing on stored data before or outside live use.,"不接真实用户,先用保存的数据检查模型。",11 / Evaluation,01-machine-learning.md; 03-foundation-models.md; 04-training-data.md; 08-retrieval.md
Online Evaluation,在线评估,Measuring behavior in a live environment.,模型实际运行时观察真实表现。,11 / Evaluation,01-machine-learning.md; 03-foundation-models.md; 04-training-data.md; 08-retrieval.md
Human Evaluation,人工评估,"People judge the quality, helpfulness, or safety of outputs.",由人来判断回答是否有用、准确或安全。,11 / Evaluation,03-foundation-models.md; 09-human-in-the-loop.md
Functional Test,功能测试,A test that checks whether a system behaves as intended.,检查系统功能是否按预期工作的测试。,11 / Functional Tests,09-agent-loop.md; 11-benchmarks.md; 11-deployment-readiness.md; 11-evaluation.md; 11-functional-tests.md
Test Case,测试案例,A chosen input and expected behavior for checking a system.,用来检查系统表现的一条具体案例。,11 / Functional Tests,01-machine-learning.md; 03-foundation-models.md; 07-code-generation.md; 11-failure-modes.md; 11-functional-tests.md; 11-hallucination.md
Failure Mode,失败模式,A recurring way the system can fail,模型反复出现的一种失败方式,11 / Failure Modes,01-supervised-learning.md; 03-foundation-models.md; 04-training-data.md; 07-image-generation.md; 08-grounding.md; 09-human-in-the-loop.md; 11-benchmarks.md; 11-failure-handling.md; 11-failure-modes.md; 11-hallucination.md
Failure Handling,失败处理,The practice of responding to unsuccessful operations.,系统出错或失败时如何应对。,11 / Failure Handling,06-structured-outputs.md; 09-agent-loop.md; 09-tool-calling.md; 11-benchmarks.md; 11-deployment-readiness.md; 11-failure-handling.md; 11-failure-modes.md; 11-functional-tests.md; 11-guardrails.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-continuous-improvement.md; 12-deployment.md
Retry,重试,Running a request again after a transient failure.,临时出错时再次发起请求。,11 / Failure Handling,03-foundation-models.md; 05-inference.md; 06-structured-outputs.md; 09-agent-loop.md; 09-human-in-the-loop.md; 11-failure-handling.md; 12-deployment.md; 15-agent-frameworks.md
Fallback,备用方案,A safer or simpler path used when the model cannot proceed.,模型做不到或出错时采用的备用处理方式。,11 / Failure Handling,03-foundation-models.md; 05-inference.md; 06-structured-outputs.md; 08-grounding.md; 09-human-in-the-loop.md; 10-runtime-constraints.md; 11-deployment-readiness.md; 11-failure-handling.md; 11-failure-modes.md; 12-deployment.md; 12-technical-scoping.md
Timeout,超时,A request taking longer than an allowed limit.,请求等待太久、超过规定时间。,11 / Failure Handling,03-foundation-models.md; 05-inference.md; 09-agent-loop.md; 09-human-in-the-loop.md; 10-latency.md; 11-failure-handling.md; 11-failure-modes.md; 12-deployment.md
Error Handling,错误处理,Detecting and responding to failures in a model workflow.,发现模型或工具出错并采取处理措施。,11 / Failure Handling,03-foundation-models.md; 05-inference.md; 06-structured-outputs.md; 10-model-serving.md
Hallucination,幻觉,"Fluent model output that is unsupported, fabricated, or incorrect.",回答听起来很像真的，但其实没有依据或内容是编出来的。,11 / Hallucination,03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 05-inference.md; 07-image-generation.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 08-vector-search.md; 11-failure-modes.md; 11-hallucination.md; 11-prompt-injection.md
Factuality,事实准确性,Whether an output matches verifiable facts.,回答是否与可验证事实一致。,11 / Hallucination,03-large-language-models.md; 08-grounding.md; 11-hallucination.md
Unsupported Claim,无证据支持的主张,A claim with no adequate supporting evidence.,回答中没有资料依据的一句话。,11 / Hallucination,08-grounding.md; 11-guardrails.md; 11-hallucination.md
Fabricated Content,编造内容,"Invented content presented as though it were retrieved, observed, or known.",模型把没有依据的内容写出来，还让人以为它是真实资料。,11 / Hallucination,11-hallucination.md
Guardrail,安全护栏,"A rule or control that limits unsafe, invalid, or unauthorized model behavior.",限制模型不能做危险、违规或未经允许事情的控制。,11 / Guardrails,03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 07-image-generation.md; 08-grounding.md; 09-agent-loop.md; 09-human-in-the-loop.md; 11-failure-handling.md; 11-failure-modes.md; 11-guardrails.md; 11-hallucination.md; 11-permissions-safety.md; 12-adoption.md; 12-deployment.md
Safety Filter,安全过滤器,A mechanism that blocks or flags unsafe content.,拦截或标记不安全生成内容的机制。,11 / Guardrails,07-image-generation.md
Content Filter,内容过滤器,A component that detects or blocks certain content.,检测并拦截特定内容的组件。,11 / Guardrails,03-large-language-models.md; 12-deployment.md
Content Moderation,内容审核,Reviewing content for policy or safety compliance.,检查内容是否符合规则和安全要求。,11 / Guardrails,03-foundation-models.md; 03-large-language-models.md; 09-human-in-the-loop.md; 12-deployment.md
Prompt Injection,提示词注入,An attack that puts instructions in input content to manipulate a model or agent.,把恶意指令藏进输入资料，诱导模型违反原本规则。,11 / Prompt Injection,02-attention.md; 03-foundation-models.md; 03-large-language-models.md; 08-grounding.md; 09-human-in-the-loop.md; 11-guardrails.md; 11-permissions-safety.md; 11-prompt-injection.md
Prompt Leakage,提示泄露,Unwanted disclosure of hidden instructions or context.,模型不该公开却泄露了系统提示或内部资料。,11 / Prompt Injection,03-foundation-models.md
Jailbreak,越狱,An attempt to bypass a model's safety or behavior restrictions.,试图绕过模型安全限制，让它做本来不该做的事。,11 / Prompt Injection,03-foundation-models.md; 03-large-language-models.md
Red Teaming,红队测试,Deliberately probing a model for failures or unsafe behavior.,"有意攻击和试探模型,找出风险和漏洞。",11 / Guardrails,03-foundation-models.md; 09-human-in-the-loop.md; 11-hallucination.md
Privacy,隐私,Protecting personal or sensitive information from improper use or disclosure.,避免个人或敏感资料被不当使用或泄露。,11 / Permissions Safety,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-attention.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-training-data.md; 05-inference.md; 08-grounding.md; 08-vector-search.md; 09-human-in-the-loop.md; 10-local-vs-cloud.md; 12-deployment.md; 19-product-services.md
Personally Identifiable Information (PII),个人可识别信息（PII）,Information that can identify a specific person directly or when combined with other data.,能够直接或组合识别某个人的资料。,11 / Permissions Safety,03-foundation-models.md; 03-large-language-models.md; 09-human-in-the-loop.md; 12-deployment.md
Permission,权限,Authorization to access or perform an action.,被允许查看资料或执行操作的资格。,11 / Permissions Safety,03-foundation-models.md; 06-prompt-design.md; 08-retrieval.md; 08-vector-search.md; 09-agent-loop.md; 09-human-in-the-loop.md; 09-mcp.md; 09-skills-plugins.md; 11-benchmarks.md; 11-guardrails.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-integration.md; 14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 17-data-api-authentication.md; 17-frontend-backend.md
Access Control,访问控制,Rules determining who or what may use a model or context.,规定哪些人或系统可以使用模型和资料。,11 / Permissions Safety,03-foundation-models.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 08-vector-search.md; 09-human-in-the-loop.md; 09-mcp.md; 10-model-serving.md; 11-permissions-safety.md; 12-adoption.md; 12-deployment.md; 12-integration.md; 17-data-api-authentication.md; 18-backend-data-platforms.md
Authentication,身份认证,Checking who a user or system is.,确认“你是谁”。,"17 / Data, APIs & Authentication",09-human-in-the-loop.md; 10-model-serving.md; 12-deployment.md; 12-integration.md; 17-data-api-authentication.md; 17-frontend-backend.md; 18-backend-data-platforms.md; 19-backend-technologies.md; 19-product-services.md
Authorization,授权,Deciding what an identified user or system is allowed to do.,确认“你能做什么”。,"17 / Data, APIs & Authentication",08-retrieval.md; 09-human-in-the-loop.md; 09-tool-calling.md; 10-model-serving.md; 11-permissions-safety.md; 12-deployment.md; 12-integration.md; 17-data-api-authentication.md
Least Privilege,最小权限,Giving an identity only the access needed for its task.,只给用户或程序完成工作所必需的最少权限。,11 / Permissions Safety,03-foundation-models.md; 09-human-in-the-loop.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-deployment.md
Audit Log,审计日志,A record used to review system actions and changes.,事后检查系统操作和修改的记录。,11 / Permissions Safety,03-foundation-models.md; 08-grounding.md; 09-human-in-the-loop.md
Fairness,公平性,Whether a model behaves acceptably across groups.,模型对不同人群是否不会产生不合理差别。,11 / Permissions Safety,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 03-multimodal-models.md; 04-training-data.md; 05-inference.md; 09-human-in-the-loop.md
Explainability,可说明性,The ability to communicate reasons for outputs.,能否说明模型为何给出这个结果。,11 / Permissions Safety,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 04-training-data.md; 05-inference.md; 08-grounding.md; 09-human-in-the-loop.md; 12-adoption.md
Human Review,人工审核,A person verifies an important or uncertain result.,由人检查重要或不确定的 AI 结果。,11 / Permissions Safety,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-training-data.md; 05-inference.md; 06-system-prompts.md; 07-code-generation.md; 07-image-generation.md; 09-ai-agent.md; 09-human-in-the-loop.md; 09-planning.md; 11-deployment-readiness.md; 11-evaluation.md; 11-failure-handling.md; 11-failure-modes.md; 11-hallucination.md; 12-adoption.md; 12-deployment.md; 12-integration.md; 12-workflow-discovery.md; 15-how-agents-are-built.md
Deployment Readiness,部署准备度,Whether a model is ready for safe and reliable use.,模型是否已经具备安全上线的条件。,11 / Deployment Readiness,03-foundation-models.md; 11-benchmarks.md; 11-deployment-readiness.md; 11-evaluation.md; 11-failure-modes.md; 11-functional-tests.md; 11-guardrails.md; 11-permissions-safety.md; 12-adoption.md; 12-deployment.md
Release Gate,就绪门;准备关卡,A decision point that determines whether release may proceed.,决定能不能继续发布的关卡。,11 / Deployment Readiness,11-deployment-readiness.md; 12-deployment.md
AI Adoption,AI 采用;AI 应用落地,The sustained use of an AI system in real work.,人们把 AI 真正、持续地用到工作里。,12 / Adoption,11-evaluation.md; 12-adoption.md; 12-continuous-improvement.md; 12-deployment.md; 12-integration.md; 12-monitoring.md; 12-technical-scoping.md; 12-workflow-discovery.md; 19-frontend-technologies.md
Workflow Fit,工作流适配,How well a system fits the way work is actually done.,工具是否贴合真实工作方式。,12 / Adoption,11-benchmarks.md; 12-adoption.md
Workflow Discovery,工作流发现,Finding and understanding a real workflow before deciding where AI fits.,先弄清楚真实工作怎么做，再判断 AI 应该放在哪一步。,12 / Workflow Discovery,12-adoption.md; 12-deployment.md; 12-integration.md; 12-technical-scoping.md; 12-workflow-discovery.md
Technical Scoping,技术范围界定,"Defining the data, interfaces, controls, and system boundaries for a solution.",明确要用哪些数据、接口、控制和系统边界。,12 / Technical Scoping,12-deployment.md; 12-integration.md; 12-technical-scoping.md; 12-workflow-discovery.md
Integration,集成;整合,The act of making separate capabilities work together as one usable system.,把原本分开的东西接起来一起工作。,12 / Integration,09-human-in-the-loop.md; 09-mcp.md; 12-adoption.md; 12-continuous-improvement.md; 12-deployment.md; 12-integration.md; 12-technical-scoping.md; 12-workflow-discovery.md; 13-major-ai-providers.md; 15-how-agents-are-built.md; 17-frontend-backend.md; 18-developer-platforms.md; 19-backend-technologies.md; 19-frontend-technologies.md; 19-product-services.md
Deployment,部署,Making a model or application available for real use.,把模型或应用放到真实环境中运行。,12 / Deployment,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-attention.md; 03-large-language-models.md; 04-pre-training.md; 04-training-data.md; 05-inference.md; 07-image-generation.md; 09-human-in-the-loop.md; 10-model-serving.md; 10-quantization.md; 10-runtime-constraints.md; 11-benchmarks.md; 11-deployment-readiness.md; 11-hallucination.md; 12-adoption.md; 12-continuous-improvement.md; 12-deployment.md; 12-technical-scoping.md; 13-major-ai-providers.md; 14-general-agents-computer-use.md; 17-deployment-operations.md; 18-web-cloud-platforms.md; 19-backend-technologies.md
Monitoring,监控,"Continuously watching system behavior, quality, and operational signals.",持续观察系统运行、质量和风险信号。,12 / Monitoring,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 04-training-data.md; 08-grounding.md; 09-human-in-the-loop.md; 10-model-serving.md; 11-deployment-readiness.md; 11-failure-modes.md; 11-functional-tests.md; 11-hallucination.md; 12-continuous-improvement.md; 12-deployment.md; 12-integration.md; 12-monitoring.md; 16-ai-workflow-platforms.md; 17-deployment-operations.md; 19-product-services.md
Observability,可观测性,"The ability to understand system behavior from logs, metrics, traces, and events.",通过日志、指标和追踪信息看懂系统发生了什么。,12 / Monitoring,08-grounding.md; 08-retrieval.md; 09-agent-loop.md; 10-model-serving.md; 11-failure-handling.md; 11-failure-modes.md; 12-deployment.md; 12-integration.md; 17-deployment-operations.md
Production Monitoring,生产监控,Monitoring a model in live use,模型上线后持续观察,12 / Monitoring,04-training-data.md; 11-functional-tests.md; 17-deployment-operations.md
Continuous Improvement,持续改进,Ongoing work that uses evidence to make a system better over time.,根据真实使用情况不断把系统做得更好。,12 / Continuous Improvement,03-foundation-models.md; 04-preference-learning-rlhf.md; 09-human-in-the-loop.md; 11-failure-handling.md; 12-adoption.md; 12-continuous-improvement.md; 12-monitoring.md
Data Drift,数据漂移,A change over time in the characteristics of input data.,线上收到的数据和过去训练或观察到的数据变了。,12 / Monitoring,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 03-foundation-models.md; 04-training-data.md; 08-vector-search.md; 12-deployment.md
Concept Drift,概念漂移,A change in the relationship between inputs and outcomes over time.,同样的输入和结果之间的规律随时间变了。,12 / Monitoring,01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 03-foundation-models.md; 04-training-data.md; 12-deployment.md
Schema Drift,模式漂移,An unexpected change in the fields or structure of data.,数据字段或结构发生了程序没有预期的变化。,12 / Monitoring,12-deployment.md
Error Rate,错误率,The fraction of predictions that are wrong.,预测错误的比例。,12 / Monitoring,05-inference.md; 11-failure-handling.md
Availability,可用性,Whether users or applications can access the service.,系统在需要时是否能正常使用。,12 / Deployment,01-deep-learning.md; 03-foundation-models.md; 08-grounding.md; 10-local-vs-cloud.md; 10-model-serving.md; 11-failure-handling.md; 12-deployment.md; 13-model-types-families.md; 14-general-agents-computer-use.md; 17-deployment-operations.md
Reliability,可靠性,The ability to operate dependably across uses and time.,系统能否稳定、持续、少出错地工作。,12 / Deployment,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 04-instruction-tuning.md; 05-inference.md; 06-structured-outputs.md; 07-image-generation.md; 07-text-generation.md; 09-human-in-the-loop.md; 11-benchmarks.md; 11-evaluation.md; 11-failure-handling.md; 11-failure-modes.md; 11-hallucination.md; 11-permissions-safety.md; 11-prompt-injection.md; 12-deployment.md; 17-deployment-operations.md; 19-product-services.md
Rollback,回滚,Return to a previous release or system state.,新版本出问题时退回旧版本。,12 / Deployment,01-deep-learning.md; 03-foundation-models.md; 09-human-in-the-loop.md; 11-deployment-readiness.md; 11-failure-handling.md; 12-deployment.md
Canary Deployment,金丝雀部署,Releasing a model to a small portion of traffic first.,"先让少量用户试用新模型,再逐步扩大范围。",12 / Deployment,03-foundation-models.md
A/B Test,A/B 测试,Comparing two system versions with different users or traffic.,"让两种版本分别服务一部分用户,比较谁更好。",12 / Deployment,01-machine-learning.md; 03-foundation-models.md
API Integration,API 集成,Integration that uses one or more APIs to connect systems.,使用 API 把系统接到一起。,12 / Integration,06-structured-outputs.md; 12-integration.md; 19-backend-technologies.md
Workflow Map,工作流图;工作流程图,"A representation of steps, systems, decisions, and handoffs.",把步骤、系统、判断和交接画在一起的图。,12 / Workflow Discovery,12-technical-scoping.md; 12-workflow-discovery.md
User Feedback,用户反馈,"Comments, signals, or observations supplied by users.",用户对工具体验和结果的意见。,12 / Adoption,04-preference-learning-rlhf.md; 11-evaluation.md; 12-adoption.md; 12-continuous-improvement.md
AI Opportunity Assessment,AI 机会评估,"Reviewing a possible AI use based on work, value, risk, and fit.",综合流程、收益、风险和适配性判断是否值得做 AI。,12 / Adoption,12-workflow-discovery.md
Production AI,生产环境 AI,An AI system being used in real work by real users.,已经上线、正在真实业务里工作的 AI。,12 / Deployment,12-continuous-improvement.md
AI Provider,AI 提供商,A company that develops and makes models or AI services available.,开发模型并提供 AI 产品或接口的公司。,13 / Major AI Providers,13-major-ai-providers.md
Model Family,模型家族,A related group of models released under one model line or brand.,同一条产品线或品牌下的一组相关模型。,13 / Major AI Providers,01-machine-learning.md; 01-supervised-learning.md; 02-diffusion-models.md; 03-foundation-models.md; 03-large-language-models.md; 03-scientific-models.md; 03-vision-foundation-models.md; 07-image-generation.md; 10-quantization.md; 10-vllm.md; 13-major-ai-providers.md; 13-model-types-families.md; 13-open-closed-local-models.md; 14-ai-assistants-coding-tools.md
Provider Strategy,提供商策略,Strategy labels might look mutually exclusive.,与 Provider Strategy 相关的专业概念，用于理解 AI 系统或其工程实现。,13 / Major AI Providers,13-major-ai-providers.md
Model Type,模型类型,A category based on a model's capability or purpose.,根据模型能力或用途划分的一类模型。,13 / Model Types & Families,01-deep-learning.md; 01-machine-learning.md; 02-diffusion-models.md; 03-foundation-models.md; 03-large-language-models.md; 04-training-data.md; 07-text-generation.md; 13-model-types-families.md
Open-Weight Model,开放权重模型,A model whose trained weights are made available for others to use or run.,把训练后的模型权重公开出来、允许别人使用或运行的模型。,13 / Open vs Closed / Local Models,03-large-language-models.md; 13-major-ai-providers.md; 13-open-closed-local-models.md
Open-Source Model,开源模型,A model release with broader source and licensing openness.,"在权重之外,通常还开放更多源代码和使用权利的模型。",13 / Open vs Closed / Local Models,13-open-closed-local-models.md; 18-developer-platforms.md
Proprietary Model,专有模型,A model controlled by an organization whose weights or implementation are not broadly open.,由某家公司控制、权重或实现没有完全公开的模型。,13 / Open vs Closed / Local Models,03-foundation-models.md; 03-large-language-models.md; 13-open-closed-local-models.md
Local Model,本地模型,A model whose inference runs on user-controlled hardware.,在自己的电脑、工作站或本地服务器上运行推理的模型。,13 / Open vs Closed / Local Models,03-foundation-models.md; 03-large-language-models.md; 07-image-generation.md; 10-local-vs-cloud.md; 10-ollama.md; 10-quantization.md; 13-major-ai-providers.md; 13-open-closed-local-models.md
Cloud Model,云端模型,A model whose inference runs on remote infrastructure.,推理主要在远程服务器上完成的模型。,13 / Open vs Closed / Local Models,03-foundation-models.md; 03-large-language-models.md; 07-image-generation.md; 10-local-vs-cloud.md; 13-open-closed-local-models.md
OpenAI,OpenAI 人工智能公司,An AI company and provider associated with GPT models and AI products.,一家开发 GPT 等模型并提供 AI 产品和接口的公司。,13 / Major AI Providers,13-major-ai-providers.md; 13-model-types-families.md; 14-ai-assistants-coding-tools.md; 15-agent-frameworks.md
Anthropic,Anthropic 人工智能公司,An AI company and provider associated with Claude models.,一家开发 Claude 等模型的 AI 公司。,13 / Major AI Providers,13-major-ai-providers.md; 13-model-types-families.md; 14-ai-assistants-coding-tools.md
Meta AI,Meta AI 人工智能组织,"Meta's AI organization and model ecosystem, including Llama.",Meta 旗下负责 AI 模型和相关产品的组织与生态。,13 / Major AI Providers,13-major-ai-providers.md
Mistral AI,Mistral AI 人工智能公司,An AI company and provider associated with the Mistral model family.,一家开发 Mistral 模型家族的 AI 公司。,13 / Major AI Providers,13-major-ai-providers.md
DeepSeek,DeepSeek AI 模型与提供商,An AI model family and provider name used in the model landscape.,AI 模型家族和提供商名称之一。,13 / Major AI Providers,10-ollama.md; 13-major-ai-providers.md; 13-model-types-families.md
Qwen,通义千问（Qwen）,An AI model family associated with Alibaba Cloud.,阿里云旗下的 AI 模型家族。,13 / Major AI Providers,10-ollama.md; 13-major-ai-providers.md; 13-model-types-families.md
GPT,GPT 生成式预训练模型,A family of generative pre-trained transformer language models.,一类以 Transformer 为基础、经过预训练并能生成内容的语言模型。,13 / Major AI Providers,03-large-language-models.md; 13-major-ai-providers.md; 13-model-types-families.md; 14-ai-assistants-coding-tools.md; 15-agent-frameworks.md
Claude,Claude 大语言模型,A large language model family developed by Anthropic.,Anthropic 开发的大语言模型家族。,13 / Major AI Providers,13-major-ai-providers.md; 13-model-types-families.md; 14-ai-assistants-coding-tools.md; 15-agent-frameworks.md
Gemini,Gemini 多模态模型,A multimodal model family developed by Google.,Google 开发的多模态模型家族。,13 / Major AI Providers,13-major-ai-providers.md; 13-model-types-families.md; 14-ai-assistants-coding-tools.md; 15-agent-frameworks.md
Llama,Llama 大语言模型,A large language model family developed by Meta.,Meta 开发的大语言模型家族。,13 / Major AI Providers,10-ollama.md; 13-major-ai-providers.md; 13-model-types-families.md
AI Assistant,AI 助手,"A user-facing AI system that helps with questions, content, or tasks.",帮助用户回答问题、生成内容或完成任务的 AI 产品。,14 / AI Assistants & Coding Tools,12-adoption.md; 12-deployment.md; 14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md
Chatbot,聊天机器人,A system mainly designed to exchange messages with a user.,主要和用户来回聊天的系统。,14 / AI Assistants & Coding Tools,09-ai-agent.md; 09-planning.md; 16-ai-workflow-platforms.md
Coding Assistant,编码助手,A tool that helps a developer write or understand code.,帮助开发者编写或理解代码的工具。,14 / AI Assistants & Coding Tools,14-ai-assistants-coding-tools.md
Coding Agent,编程智能体,An agent that can inspect code and take software-development actions.,能查看代码并执行开发操作的智能体。,14 / AI Assistants & Coding Tools,05-context-window.md; 07-code-generation.md; 14-ai-assistants-coding-tools.md
AI IDE,AI 集成开发环境,A development environment that integrates AI into coding and software work.,把 AI 深度放进写代码环境里的开发工具。,14 / AI Assistants & Coding Tools,14-ai-assistants-coding-tools.md
Autocomplete,自动补全,A feature that predicts and inserts likely code or text.,预测并插入可能代码或文字的功能。,14 / AI Assistants & Coding Tools,03-large-language-models.md; 05-next-token-prediction.md; 14-ai-assistants-coding-tools.md
Computer Use,计算机操作,"An AI capability that interacts with a graphical interface, browser, or desktop.",让 AI 像用户一样操作界面、浏览器或桌面。,14 / AI Assistants & Coding Tools,14-ai-assistants-coding-tools.md; 14-general-agents-computer-use.md
Browser Agent,浏览器智能体,An agent that mainly works in websites and browser interfaces.,主要操作网页和浏览器界面的智能体。,14 / General Agents & Computer Use,14-general-agents-computer-use.md
Repository Context,代码仓库上下文,Information about the repository that guides an AI coding task.,帮助 AI 完成编码任务的代码仓库信息。,14 / AI Assistants & Coding Tools,14-ai-assistants-coding-tools.md
Codebase,代码库,The complete set of source code for an application.,一个应用的全部源代码。,14 / AI Assistants & Coding Tools,19-backend-technologies.md
Agentic Coding,智能体式编码,Coding in which an AI can plan and take multiple actions.,AI 能规划并连续采取多个动作的编码方式。,14 / AI Assistants & Coding Tools,14-ai-assistants-coding-tools.md
Agents SDK,智能体 SDK,A software development kit for building applications with AI agents.,帮助开发者构建 AI 智能体应用的一组软件工具。,15 / Agent Frameworks,15-agent-frameworks.md; 16-ai-workflow-platforms.md
LangGraph,LangGraph 智能体框架,A framework for building stateful agent workflows as graphs.,把智能体步骤和状态连接成图来编排工作流的框架。,15 / Agent Frameworks,15-agent-frameworks.md; 16-ai-workflow-platforms.md
Agent Architecture,智能体架构,The design of components and steps supporting an agent.,支撑智能体运行的组件和流程设计。,15 / How AI Agents Are Built,09-agent-loop.md
Multi-Agent Orchestration,多智能体编排,Coordinating several agents and their interactions.,协调多个智能体及其交互过程。,15 / How AI Agents Are Built,15-agent-frameworks.md
Middleware,中间件,Software between an application and a lower-level system.,位于应用和底层系统之间的软件。,15 / How AI Agents Are Built,10-vllm.md
AI Workflow Platform,AI 工作流平台,"A platform for assembling repeatable flows that combine models, tools, data, and human steps.",把模型、工具、数据和人工步骤连成可重复流程的平台。,16 / AI Workflow Platforms,16-ai-workflow-platforms.md; 16-automation-platforms.md
Workflow Automation,工作流自动化,Using software to run repeatable workflow steps with limited manual effort.,用软件自动执行重复的工作步骤。,16 / Automation Platforms,01-deep-learning.md
